Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2023-24","Fall","IDS","3204","TS: Portfolio","Sullivan","3.82","77.8","11.1","0","0","11.1","0","0","0","0","0","0","0","1","9","86461","  1"
"2023-24","Fall","GRAD","5134","TS: Resrch Dis Resil II","Paretti","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","91841","  1"
"2023-24","Fall","IDS","3234","TS: Studio Collective","Pritchett","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","86471","  1"
"2023-24","Fall","IDS","3224","TS:Intro to Physical Computing","Pfeiffer","3.76","44.4","44.4","0","11.1","0","0","0","0","0","0","0","0","0","9","86468","  1"
"2024-25","Fall","DASC","4664","Translating Dairy Science","Cockrum","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","92240","  1"
"2024-25","Fall","HD","4994","UR: Learning and Development","Hornburg","3.97","80","20","0","0","0","0","0","0","0","0","0","0","0","5","86186","  1"
"2023-24","Fall","BCHM","4994","Undergraduate Research","Lahondere","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","81556","  1"
"2024-25","Fall","ENT","4994","Undergraduate Research","Sharakhova","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85227","  1"
"2024-25","Fall","ENT","4994","Undergraduate Research","Rice","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85227","  1"
"2024-25","Fall","ENT","4994","Undergraduate Research","Paulson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85227","  1"
"2024-25","Fall","ENT","4994","Undergraduate Research","Entrekin","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85227","  1"
"2024-25","Fall","ENT","4994","Undergraduate Research","Auguste","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85227","  1"
"2023-24","Fall","HNFE","4814","Advanced Athletic Injuries","Matthis","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86307","  2"
"2023-24","Fall","HNFE","4814","Advanced Athletic Injuries","Bryan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86307","  2"
"2024-25","Fall","BSE","4534","Bioprocess Engineering Lab","Sun","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","82146","  1"
"2024-25","Fall","BSE","4534","Bioprocess Engineering Lab","Sun","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","91823","  1"
"2024-25","Fall","DASC","4304","Bovine Reproduction Practices","Ealy","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","83648","  2"
"2024-25","Fall","BIOL","3104","Cell Molecular Biol Laboratory","Voshell","3.79","70","0","30","0","0","0","0","0","0","0","0","0","0","10","81761","  1"
"2023-24","Fall","DASC","1464","Dairy Cattle Handling","Knowlton","3.9","90","0","0","10","0","0","0","0","0","0","0","0","0","10","83623","  1"
"2023-24","Fall","DASC","1464","Dairy Cattle Handling","Knowlton","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","83625","  1"
